Age,Income,MonthsEmployed,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,CreditScore
64,117632,120,0.3178425059982994,Secondary,Unemployed,Married,0,1,Debt Consolidation,0,700
24,49614,120,0.15737329792596025,Secondary,Salaried,Married,1,1,Business,0,494
61,197049,120,0.08267354815967533,Undergraduate,Self-Employed,Single,1,0,Other-Miscellaneous,0,689
25,90918,120,0.1664070717553707,Postgraduate,Salaried,Married,0,0,Debt Consolidation,0,617
64,105655,120,0.25175819032254837,Secondary,Self-Employed,Married,1,0,Debt Consolidation,1,668
52,292366,120,0.35139620121891213,Secondary,Salaried,Married,1,1,Home Improvement,0,811
31,109513,120,0.24264294112740759,Undergraduate,Contract-Part-time,Single,0,1,Education,0,559
34,341852,24,0.18320382250841621,Undergraduate,Salaried,Married,0,1,Other-Miscellaneous,1,799
53,64870,60,0.32338240559011383,Primary,Self-Employed,Single,0,1,Debt Consolidation,1,529
67,41041,120,0.4592393271375568,Undergraduate,Salaried,Married,1,1,Debt Consolidation,0,572
57,78276,120,0.2607999473328656,Secondary,Salaried,Married,1,1,Business,0,665
21,10386,120,0.5293146900989862,Undergraduate,Contract-Part-time,Married,1,1,Home Improvement,0,469
19,203741,120,0.28390977241207344,Undergraduate,Unemployed,Single,1,1,Home Improvement,1,790
23,42996,36,0.3335606168616491,Secondary,Salaried,Married,0,1,Debt Consolidation,0,523
71,60225,120,0.15550789861875625,Undergraduate,Self-Employed,Married,1,0,Business,0,572
59,175084,120,0.40370492844058875,Secondary,Salaried,Married,0,1,Business,0,698
21,108585,120,0.2368055585771574,Postgraduate,Self-Employed,Married,0,1,Other-Miscellaneous,1,586
71,69394,120,0.3868567107889397,Primary,Salaried,Married,0,1,Debt Consolidation,1,607
46,19356,120,0.26937964659293834,Undergraduate,Salaried,Divorced/Widowed,1,0,Home Improvement,0,521
35,279468,120,0.16206380714481233,Primary,Salaried,Single,0,1,Home Improvement,1,804
43,176039,120,0.08297301615461253,Undergraduate,Self-Employed,Married,1,1,Business,0,693
61,511231,120,0.08718927818457453,Postgraduate,Unemployed,Divorced/Widowed,1,0,Business,1,850
51,61260,120,0.03938446142983008,Secondary,Salaried,Married,1,1,Debt Consolidation,1,600
27,30836,120,0.4104318040743106,Secondary,Self-Employed,Divorced/Widowed,1,1,Business,0,475
53,218776,120,0.2975106296357772,Undergraduate,Contract-Part-time,Single,1,1,Business,1,741
31,84927,36,0.3263927099361155,Undergraduate,Unemployed,Married,0,1,Home Improvement,1,567
48,163168,120,0.16109122742488158,Secondary,Unemployed,Married,0,1,Other-Miscellaneous,0,691
65,360747,120,0.4524637846481638,Undergraduate,Self-Employed,Divorced/Widowed,0,1,Debt Consolidation,0,850
32,134661,120,0.11201704845180478,Secondary,Unemployed,Married,1,1,Business,0,690
25,112852,120,0.24258790330370442,Postgraduate,Self-Employed,Married,0,1,Debt Consolidation,1,609
31,118658,120,0.3479342140449474,Undergraduate,Unemployed,Divorced/Widowed,0,1,Education,0,521
40,26640,120,0.13243968025079192,Primary,Salaried,Single,1,1,Debt Consolidation,0,559
74,239529,120,0.3706201342984724,Undergraduate,Self-Employed,Married,1,1,Business,1,738
57,252122,120,0.029666536157481875,Secondary,Self-Employed,Single,0,1,Business,0,810
38,150912,120,0.17365488927293457,Undergraduate,Self-Employed,Married,0,0,Debt Consolidation,0,750
33,29368,120,0.38236702040431514,Secondary,Self-Employed,Single,0,1,Debt Consolidation,0,500
62,89597,120,0.5306312063258581,Secondary,Unemployed,Single,0,1,Business,0,614
35,312019,120,0.16452576641552616,Primary,Unemployed,Married,0,1,Home Improvement,0,850
64,62780,120,0.16449934223015156,Secondary,Unemployed,Single,0,0,Other-Miscellaneous,0,631
70,254588,120,0.35275997436433615,Primary,Self-Employed,Single,0,0,Debt Consolidation,0,723
41,103164,120,0.0807104495720714,Postgraduate,Contract-Part-time,Married,1,0,Debt Consolidation,1,649
43,174556,120,0.3862175804396527,Secondary,Self-Employed,Married,0,1,Other-Miscellaneous,0,637
42,70989,120,0.3012698695330011,Secondary,Unemployed,Divorced/Widowed,0,1,Debt Consolidation,0,542
62,105609,120,0.20138623682058923,Secondary,Self-Employed,Married,0,0,Education,0,638
58,139996,120,0.3338762907656432,Secondary,Self-Employed,Married,1,1,Home Improvement,0,615
46,41498,72,0.5400541444501691,Secondary,Self-Employed,Married,1,0,Debt Consolidation,0,449
32,122900,120,0.14181672711700213,Undergraduate,Salaried,Single,1,1,Home Improvement,0,657
62,11489,120,0.23191985002105245,Undergraduate,Self-Employed,Divorced/Widowed,0,1,Other-Miscellaneous,0,503
18,61010,120,0.2887192184458539,Primary,Salaried,Single,0,1,Education,0,536
42,152528,120,0.49185934290843425,Undergraduate,Salaried,Married,0,1,Home Improvement,1,645
24,241883,120,0.14999533438210366,Undergraduate,Salaried,Single,0,0,Home Improvement,1,808
26,144091,120,0.4446206336006134,Secondary,Contract-Part-time,Single,0,1,Other-Miscellaneous,0,663
41,32459,120,0.4759127729049857,Secondary,Self-Employed,Single,1,1,Business,0,417
18,225547,12,0.14306153370895872,Undergraduate,Contract-Part-time,Married,1,1,Debt Consolidation,1,775
61,39683,120,0.10378770787473396,Undergraduate,Salaried,Married,1,1,Business,0,582
25,161354,120,0.18717160700868926,Primary,Salaried,Single,0,1,Home Improvement,0,679
41,40754,120,0.4445064223427541,Secondary,Salaried,Single,0,1,Debt Consolidation,0,554
28,53179,120,0.05046178286205529,Primary,Salaried,Single,0,0,Education,0,602
68,45932,120,0.08533820206229305,Postgraduate,Salaried,Married,1,1,Other-Miscellaneous,1,586
34,110322,120,0.14043472583298783,Undergraduate,Salaried,Married,1,0,Other-Miscellaneous,0,627
25,84421,120,0.08776332099219887,Primary,Unemployed,Married,1,1,Business,0,608
52,148320,120,0.18816899850321506,Undergraduate,Salaried,Divorced/Widowed,0,1,Education,1,721
52,97255,120,0.3235733843175507,Primary,Contract-Part-time,Single,0,0,Business,0,602
50,29310,120,0.15219286378323843,Primary,Unemployed,Married,0,1,Home Improvement,0,479
22,123087,120,0.09280088170344682,Secondary,Salaried,Married,1,1,Debt Consolidation,0,569
59,24107,24,0.5170518816942914,Postgraduate,Self-Employed,Married,0,1,Business,0,419
56,48674,60,0.328208161608197,Undergraduate,Salaried,Single,0,1,Education,0,551
58,73781,120,0.34376634167504017,Secondary,Salaried,Single,1,1,Business,0,544
45,69803,120,0.119201859879297,Primary,Salaried,Married,0,1,Business,0,688
24,26425,120,0.19930838530294118,Primary,Contract-Part-time,Single,1,1,Debt Consolidation,0,577
26,295648,120,0.4883938681172194,Undergraduate,Salaried,Divorced/Widowed,0,1,Debt Consolidation,0,697
25,368944,108,0.27900503038183433,Undergraduate,Salaried,Single,1,1,Home Improvement,0,839
29,597566,120,0.08239939340654566,Primary,Salaried,Single,0,0,Debt Consolidation,1,850
51,247241,120,0.06565211355234066,Undergraduate,Unemployed,Single,1,0,Other-Miscellaneous,0,794
50,71943,120,0.54316688456271,Primary,Contract-Part-time,Single,0,1,Debt Consolidation,0,531
65,70958,72,0.25297361193011464,Secondary,Salaried,Single,0,1,Debt Consolidation,0,551
72,67892,120,0.17626314872452656,Postgraduate,Salaried,Married,1,1,Education,0,580
40,483356,120,0.23040458022177068,Postgraduate,Contract-Part-time,Divorced/Widowed,1,0,Debt Consolidation,0,850
41,90000,120,0.10795004761708256,Postgraduate,Salaried,Married,1,1,Business,1,644
54,272497,12,0.3839118907097048,Secondary,Self-Employed,Married,1,1,Debt Consolidation,1,728
52,256055,120,0.27284364661101934,Secondary,Unemployed,Married,0,1,Debt Consolidation,1,800
61,114879,120,0.23832799986641032,Undergraduate,Salaried,Divorced/Widowed,0,0,Home Improvement,0,640
57,30905,120,0.454852924398949,Secondary,Salaried,Married,1,1,Debt Consolidation,0,528
39,91570,120,0.3934663980741748,Primary,Contract-Part-time,Single,0,0,Business,0,532
44,111031,120,0.23512736007724297,Undergraduate,Self-Employed,Divorced/Widowed,0,1,Education,1,595
52,274398,120,0.1031134055913373,Secondary,Salaried,Single,1,1,Debt Consolidation,0,850
18,100264,120,0.15234940383176002,Undergraduate,Contract-Part-time,Single,1,1,Debt Consolidation,0,604
52,37538,120,0.19730195051517538,Secondary,Salaried,Divorced/Widowed,1,1,Business,1,517
54,217581,120,0.21976708325783872,Secondary,Self-Employed,Single,1,1,Business,0,848
64,82286,120,0.09124327731359635,Undergraduate,Contract-Part-time,Married,1,1,Debt Consolidation,0,642
31,12884,120,0.14535265104403028,Secondary,Self-Employed,Married,1,0,Debt Consolidation,0,567
20,128025,120,0.114425039607689,Undergraduate,Salaried,Single,0,1,Other-Miscellaneous,0,592
18,147357,120,0.39404681705509054,Undergraduate,Self-Employed,Married,0,1,Education,0,596
22,50294,48,0.14326145787585698,Undergraduate,Contract-Part-time,Divorced/Widowed,0,0,Debt Consolidation,1,522
43,84657,120,0.6801831191912494,Undergraduate,Contract-Part-time,Married,1,1,Business,0,451
72,167070,120,0.4568125308074208,Undergraduate,Contract-Part-time,Married,0,1,Debt Consolidation,0,690
31,128724,120,0.3200323020637478,Undergraduate,Salaried,Single,1,0,Other-Miscellaneous,0,676
56,28278,120,0.11536894458738853,Undergraduate,Self-Employed,Single,1,0,Business,0,611
44,269100,120,0.4519995806503402,Postgraduate,Self-Employed,Married,1,0,Debt Consolidation,0,707
26,386568,120,0.1323203724919317,Undergraduate,Unemployed,Married,0,1,Home Improvement,1,850
32,65634,120,0.3607370520014453,Undergraduate,Salaried,Married,0,1,Other-Miscellaneous,1,598
32,21420,120,0.2265468666583699,Primary,Self-Employed,Married,1,1,Business,1,667
43,182935,120,0.11919960851552046,Secondary,Unemployed,Single,1,1,Business,0,734
59,57614,120,0.29824523544628967,Secondary,Contract-Part-time,Single,0,1,Debt Consolidation,1,562
30,151502,120,0.37924005590262294,Secondary,Unemployed,Single,1,0,Home Improvement,0,681
68,574776,120,0.12801458749126687,Secondary,Unemployed,Married,0,1,Other-Miscellaneous,0,850
49,28651,120,0.18479070946010895,Undergraduate,Salaried,Married,0,1,Business,1,589
56,52192,120,0.48209585800742727,Secondary,Contract-Part-time,Married,0,1,Education,0,495
66,84492,120,0.060051350327454955,Undergraduate,Unemployed,Single,0,0,Home Improvement,1,647
69,277435,120,0.12227629801822479,Secondary,Salaried,Single,1,1,Other-Miscellaneous,0,828
49,1697205,120,0.364241976788788,Undergraduate,Salaried,Married,0,1,Home Improvement,1,850
21,120290,120,0.14495847426100295,Secondary,Contract-Part-time,Single,1,1,Debt Consolidation,0,650
47,26748,120,0.4908912910239733,Undergraduate,Self-Employed,Married,1,1,Business,0,444
54,74875,120,0.3892040315013192,Undergraduate,Unemployed,Single,0,0,Education,0,611
40,53109,120,0.298098912822132,Undergraduate,Self-Employed,Single,1,1,Debt Consolidation,0,535
56,175829,120,0.4149636887722007,Secondary,Contract-Part-time,Single,0,1,Home Improvement,1,657
62,133453,120,0.26545234635105064,Undergraduate,Salaried,Single,0,0,Debt Consolidation,0,675
32,42896,120,0.1363568497395543,Postgraduate,Salaried,Single,1,0,Home Improvement,1,606
60,50676,120,0.33605694915580775,Secondary,Salaried,Single,0,1,Business,0,584
46,74009,120,0.5750288235719958,Undergraduate,Contract-Part-time,Married,1,1,Other-Miscellaneous,0,457
53,81512,120,0.06595602685758233,Undergraduate,Salaried,Single,1,1,Home Improvement,0,673
30,95439,120,0.30315209546644994,Undergraduate,Salaried,Single,0,1,Home Improvement,0,571
49,102651,120,0.04224069873678747,Undergraduate,Contract-Part-time,Married,1,0,Debt Consolidation,1,698
24,265104,120,0.3035952523020068,Undergraduate,Self-Employed,Divorced/Widowed,0,1,Home Improvement,0,775
68,71899,120,0.04809063975884895,Primary,Contract-Part-time,Married,0,1,Education,0,582
39,63904,120,0.11441303769363441,Undergraduate,Contract-Part-time,Single,0,1,Business,0,632
45,33825,120,0.6749429850669093,Undergraduate,Self-Employed,Married,1,1,Other-Miscellaneous,1,429
19,82529,120,0.4548659441683586,Postgraduate,Salaried,Single,1,0,Business,0,515
59,121170,120,0.46832414411117235,Secondary,Salaried,Single,1,0,Home Improvement,0,586
62,24852,120,0.1778279369568937,Undergraduate,Salaried,Divorced/Widowed,0,0,Business,0,528
74,75061,12,0.3136809970565232,Secondary,Unemployed,Married,0,1,Education,0,563
70,249754,120,0.041768144478995475,Undergraduate,Salaried,Married,0,1,Debt Consolidation,0,842
23,165817,120,0.07240657510102026,Primary,Salaried,Married,1,0,Education,1,699
45,133085,120,0.42534215658204894,Secondary,Self-Employed,Single,0,1,Debt Consolidation,1,612
45,162262,120,0.5220338045297309,Undergraduate,Salaried,Married,1,1,Debt Consolidation,0,637
61,62382,12,0.05073040381480772,Undergraduate,Salaried,Single,1,1,Business,1,544
61,56076,120,0.20774268599765372,Undergraduate,Contract-Part-time,Single,1,0,Education,1,524
37,273081,60,0.28298058903608697,Primary,Contract-Part-time,Single,1,1,Business,0,730
47,191551,120,0.06471457824350349,Undergraduate,Salaried,Single,0,1,Home Improvement,1,702
28,54338,120,0.1052350700196813,Undergraduate,Salaried,Single,0,0,Debt Consolidation,0,620
72,21960,120,0.1117196144420147,Undergraduate,Salaried,Married,0,1,Debt Consolidation,1,661
45,55248,120,0.5221515112893539,Undergraduate,Contract-Part-time,Divorced/Widowed,0,0,Home Improvement,0,474
42,152485,120,0.43206720744249305,Undergraduate,Salaried,Married,1,0,Education,1,562
56,58302,120,0.07309210363062246,Secondary,Contract-Part-time,Married,0,1,Home Improvement,0,619
50,128547,120,0.16697248767973788,Secondary,Salaried,Divorced/Widowed,0,1,Debt Consolidation,0,667
18,307372,24,0.13484294670521477,Undergraduate,Unemployed,Married,0,1,Home Improvement,0,827
74,91635,120,0.18949218193348596,Primary,Unemployed,Divorced/Widowed,1,0,Debt Consolidation,0,611
44,119034,72,0.24238457956261947,Primary,Self-Employed,Married,1,1,Other-Miscellaneous,0,528
74,170744,120,0.3262857464002253,Undergraduate,Self-Employed,Married,1,1,Business,0,603
69,41536,120,0.2242591693980702,Postgraduate,Salaried,Divorced/Widowed,0,1,Home Improvement,0,523
30,53186,120,0.22798810467996042,Secondary,Self-Employed,Single,1,0,Home Improvement,0,575
58,176474,120,0.4228763784244992,Undergraduate,Salaried,Single,0,1,Business,1,582
20,101678,12,0.10071255285230234,Secondary,Salaried,Single,1,0,Other-Miscellaneous,0,541
56,108815,120,0.46548370410938683,Secondary,Self-Employed,Single,0,1,Debt Consolidation,1,568
23,101379,120,0.22575968924205647,Undergraduate,Unemployed,Single,1,1,Debt Consolidation,0,665
25,215913,120,0.22665872351605965,Undergraduate,Salaried,Single,1,1,Other-Miscellaneous,1,730
44,139884,120,0.34677851639066404,Secondary,Unemployed,Divorced/Widowed,1,1,Other-Miscellaneous,0,678
26,141358,120,0.2194111642062919,Secondary,Salaried,Single,0,1,Business,0,689
54,262434,120,0.3527655135276498,Secondary,Self-Employed,Single,0,1,Business,0,650
50,356917,120,0.43675997262858707,Undergraduate,Self-Employed,Single,0,1,Debt Consolidation,0,850
68,594141,120,0.27405725889115945,Undergraduate,Salaried,Single,1,1,Debt Consolidation,0,850
59,62117,120,0.18412499911227245,Secondary,Self-Employed,Single,1,1,Business,0,590
61,711781,120,0.16688442657647196,Undergraduate,Contract-Part-time,Married,1,0,Education,1,850
41,41051,108,0.6430424758710215,Postgraduate,Salaried,Single,0,1,Debt Consolidation,0,431
32,464259,120,0.44807590705910505,Secondary,Unemployed,Single,0,0,Other-Miscellaneous,0,850
71,59446,120,0.16048691091644599,Postgraduate,Salaried,Married,1,1,Home Improvement,0,586
49,93418,120,0.14694398003490297,Undergraduate,Salaried,Single,1,1,Other-Miscellaneous,1,562
49,100193,120,0.11208231024190252,Undergraduate,Salaried,Divorced/Widowed,1,0,Debt Consolidation,0,631
41,49336,120,0.020728159734008846,Primary,Salaried,Married,0,1,Business,0,590
58,105807,120,0.2093935131361761,Undergraduate,Unemployed,Single,1,1,Business,1,698
69,51417,120,0.3735447227146813,Undergraduate,Salaried,Single,0,1,Home Improvement,1,520
66,36755,120,0.32071132231246535,Secondary,Self-Employed,Married,1,0,Business,0,509
66,95704,120,0.45357326526556063,Primary,Contract-Part-time,Single,1,1,Business,0,669
69,352181,120,0.5728466380063157,Postgraduate,Self-Employed,Married,0,1,Home Improvement,1,804
29,80562,120,0.03145517150374372,Secondary,Self-Employed,Single,0,1,Education,0,650
56,209570,120,0.1820908419318845,Secondary,Contract-Part-time,Married,0,1,Other-Miscellaneous,0,681
19,50184,60,0.22157922484502765,Secondary,Contract-Part-time,Married,0,0,Education,0,494
20,35355,12,0.3149872623387219,Primary,Salaried,Single,1,1,Debt Consolidation,0,513
66,141929,120,0.38672204544508265,Undergraduate,Self-Employed,Single,0,1,Business,1,611
54,402113,120,0.34734580700585405,Undergraduate,Salaried,Single,1,1,Business,0,850
66,116676,84,0.31147219211796034,Undergraduate,Self-Employed,Divorced/Widowed,1,0,Debt Consolidation,0,640
73,191246,120,0.06558652823274778,Undergraduate,Salaried,Married,1,0,Education,0,704
34,326472,120,0.29227019494015866,Postgraduate,Unemployed,Married,0,1,Business,0,850
66,95872,120,0.24387763094670012,Secondary,Self-Employed,Single,1,1,Other-Miscellaneous,0,606
19,87408,120,0.658796575407485,Undergraduate,Salaried,Single,0,0,Education,0,455
19,144014,120,0.4228960613410634,Secondary,Salaried,Single,1,0,Debt Consolidation,0,589
45,166045,120,0.05932664060671564,Undergraduate,Contract-Part-time,Married,0,1,Other-Miscellaneous,1,691
71,32235,120,0.44079343495074774,Secondary,Self-Employed,Single,0,1,Home Improvement,0,429
40,125063,120,0.3506176298957124,Secondary,Unemployed,Single,1,1,Debt Consolidation,1,573
54,98661,120,0.31461080697067156,Secondary,Salaried,Married,1,1,Debt Consolidation,0,516
49,52490,120,0.2552469801146727,Undergraduate,Salaried,Single,0,1,Debt Consolidation,0,521
50,93353,120,0.36959106375892475,Undergraduate,Salaried,Single,0,0,Business,0,646
18,38860,96,0.07436511225804796,Postgraduate,Contract-Part-time,Married,1,1,Business,0,579
36,29473,120,0.06228611520752493,Primary,Contract-Part-time,Divorced/Widowed,1,1,Education,0,597
19,104138,120,0.07494268307661257,Undergraduate,Unemployed,Single,1,1,Debt Consolidation,0,630
70,203142,120,0.12905103344775365,Primary,Salaried,Single,0,1,Debt Consolidation,0,680
61,74769,120,0.4251920400344656,Undergraduate,Self-Employed,Married,1,1,Debt Consolidation,0,455
43,45771,120,0.37912896587596534,Undergraduate,Self-Employed,Single,0,1,Other-Miscellaneous,0,500
49,51831,120,0.24059784711245477,Primary,Salaried,Single,0,1,Debt Consolidation,1,615
23,153147,120,0.5676100856024914,Secondary,Salaried,Divorced/Widowed,0,1,Debt Consolidation,1,657
49,374710,120,0.3164835146818768,Undergraduate,Self-Employed,Single,0,0,Home Improvement,0,850
72,182839,120,0.274348108921562,Secondary,Contract-Part-time,Single,1,1,Other-Miscellaneous,1,490
21,279465,120,0.21948346007749675,Undergraduate,Salaried,Single,1,0,Other-Miscellaneous,0,736
72,42697,108,0.14747477543464788,Secondary,Self-Employed,Single,0,1,Education,0,523
28,93046,24,0.460348370552929,Secondary,Unemployed,Married,1,1,Home Improvement,1,444
73,223005,120,0.11140721694480382,Postgraduate,Salaried,Married,0,1,Debt Consolidation,0,850
34,32230,120,0.23823173939222397,Primary,Self-Employed,Divorced/Widowed,1,1,Debt Consolidation,1,565
55,58296,120,0.22374989017524266,Undergraduate,Contract-Part-time,Married,1,0,Debt Consolidation,1,567
41,209738,120,0.3484816265855341,Secondary,Unemployed,Single,1,0,Debt Consolidation,0,733
22,121387,120,0.29293164272964456,Undergraduate,Salaried,Single,0,1,Business,0,671
69,45611,120,0.5395395631045955,Undergraduate,Self-Employed,Single,0,0,Home Improvement,0,609
51,26778,120,0.25296965759287254,Undergraduate,Contract-Part-time,Married,0,1,Education,0,569
23,287751,120,0.09193507259842933,Undergraduate,Salaried,Divorced/Widowed,0,0,Home Improvement,0,850
39,19097,120,0.1284406636901078,Secondary,Salaried,Married,1,1,Home Improvement,1,516
28,163720,120,0.802501507702178,Undergraduate,Self-Employed,Married,1,1,Other-Miscellaneous,1,521
65,64444,120,0.08295763715425801,Undergraduate,Self-Employed,Married,1,1,Business,0,590
33,228126,120,0.1404476338258813,Secondary,Salaried,Married,0,1,Other-Miscellaneous,0,747
50,42885,120,0.3030912479333041,Undergraduate,Salaried,Single,1,1,Debt Consolidation,0,536
26,799577,120,0.4432961045705749,Undergraduate,Self-Employed,Single,1,1,Business,0,850
23,136194,72,0.4073165506309989,Postgraduate,Self-Employed,Single,0,0,Other-Miscellaneous,0,543
33,155384,120,0.6542854567939101,Undergraduate,Contract-Part-time,Married,0,0,Business,1,543
46,53186,120,0.3093987604561753,Secondary,Salaried,Single,0,1,Debt Consolidation,0,582
20,88724,120,0.07293982936829947,Primary,Salaried,Divorced/Widowed,1,1,Home Improvement,1,567
37,90584,120,0.4055588164008566,Primary,Salaried,Married,1,0,Business,0,512
53,415340,36,0.26864980222673357,Postgraduate,Salaried,Single,0,1,Debt Consolidation,1,850
36,136006,120,0.35340801567481533,Undergraduate,Contract-Part-time,Married,1,0,Home Improvement,1,556
43,152521,120,0.3203412547090711,Secondary,Unemployed,Divorced/Widowed,1,1,Education,1,638
20,151163,120,0.35690250148367664,Secondary,Unemployed,Single,1,1,Home Improvement,1,621
36,163225,120,0.38582612479610656,Undergraduate,Self-Employed,Single,1,1,Home Improvement,0,610
37,32481,120,0.19787550539420537,Postgraduate,Salaried,Single,0,1,Home Improvement,0,512
